date,model,tier,ebay_avg_price_usd,data_source,lhr
2021-08-01,RTX 3060 Ti,XX60,933.0,Tom's Hardware / PCMag / 3D Center,0
2021-08-01,RTX 3060 Ti LHR,XX60,850.0,TechSpot / Tom's Hardware — range $850-$850 (midpoint used),1
2021-08-01,RTX 3070,XX70,1205.0,Tom's Hardware / PCMag / 3D Center,0
2021-08-01,RTX 3070 LHR,XX70,1000.0,TechSpot / Tom's Hardware — range $900-$1100 (midpoint used),1
2021-08-01,RTX 3070 Ti,XX70,1141.0,Tom's Hardware / PCMag / 3D Center,0
2021-08-01,RTX 3080,XX80,1708.0,Tom's Hardware / PCMag / 3D Center,0
2021-08-01,RTX 3080 LHR,XX80,1475.0,TechSpot / Tom's Hardware — range $1400-$1550 (midpoint used),1
2021-08-01,RTX 3080 Ti,XX80,1832.0,Tom's Hardware / PCMag / 3D Center,0
2021-08-01,RTX 3090,XX90,2567.0,Tom's Hardware / PCMag / 3D Center,0
2021-09-01,RTX 3060,XX60,736.0,Tom's Hardware / PCMag / 3D Center,0
2021-09-01,RTX 3060 Ti,XX60,956.0,Tom's Hardware / PCMag / 3D Center,0
2021-09-01,RTX 3060 Ti LHR,XX60,850.0,TechSpot / Tom's Hardware — range $750-$950 (midpoint used),1
2021-09-01,RTX 3070,XX70,1208.0,Tom's Hardware / PCMag / 3D Center,0
2021-09-01,RTX 3070 LHR,XX70,975.0,TechSpot / Tom's Hardware — range $850-$1100 (midpoint used),1
2021-09-01,RTX 3070 Ti,XX70,1175.0,Tom's Hardware / PCMag / 3D Center,0
2021-09-01,RTX 3080,XX80,1740.0,Tom's Hardware / PCMag / 3D Center,0
2021-09-01,RTX 3080 LHR,XX80,1425.0,TechSpot / Tom's Hardware — range $1300-$1550 (midpoint used),1
2021-09-01,RTX 3080 Ti,XX80,1885.0,Tom's Hardware / PCMag / 3D Center,0
2021-09-01,RTX 3090,XX90,2750.0,Tom's Hardware / PCMag / 3D Center,0
2021-10-01,RTX 3060,XX60,742.0,Tom's Hardware / PCMag / 3D Center,0
2021-10-01,RTX 3060 Ti,XX60,968.0,Tom's Hardware / PCMag / 3D Center,0
